id,name,type,lat,lng,county,state,risk_note
nuc-01,Duke Energy — McGuire Nuclear Station,nuclear,35.4325,-80.9478,Mecklenburg,NC,"Nuclear plant with a 10-mile emergency planning zone. In a wildfire scenario, smoke, road closures, and access disruption are primary concerns for nearby residents."
nuc-02,Duke Energy — Catawba Nuclear Station,nuclear,35.0522,-81.0711,York,SC,Two-unit nuclear plant on Lake Wylie. Serves as a regional power hub — disruption affects the Carolinas grid. 10-mile EPZ covers parts of NC and SC.
nuc-03,Duke Energy — Oconee Nuclear Station,nuclear,34.7919,-82.8997,Oconee,SC,Largest nuclear plant in the Southeast by capacity. 10-mile emergency planning zone includes parts of Oconee and Pickens counties.
nuc-04,Brunswick Nuclear Plant,nuclear,33.9587,-78.0222,Brunswick,NC,Coastal nuclear plant. Wildfire and hurricane risk overlap. 10-mile EPZ covers parts of Brunswick and Columbus counties.
nuc-05,Shearon Harris Nuclear Plant,nuclear,35.6325,-78.9561,Wake,NC,"Single-unit plant southwest of Raleigh. 10-mile EPZ covers rural Wake, Chatham, and Harnett counties — areas at elevated wildfire risk."
nuc-06,Vogtle Electric Generating Plant,nuclear,33.1419,-81.7625,Burke,GA,Recently expanded to 4 units. 10-mile EPZ covers Burke and surrounding counties in eastern Georgia.
nuc-07,Sequoyah Nuclear Plant,nuclear,35.2261,-85.0872,Hamilton,TN,TVA-operated plant on Chickamauga Lake. 10-mile EPZ includes parts of Hamilton and Bradley counties in Tennessee.
nuc-08,Watts Bar Nuclear Plant,nuclear,35.6047,-84.7875,Rhea,TN,TVA facility on the Tennessee River. Surrounding Rhea and Meigs counties have elevated wildfire risk in drought conditions.
nuc-09,Surry Power Station,nuclear,37.1653,-76.6983,Surry,VA,Dominion Energy plant on the James River. 10-mile EPZ covers rural Surry County — limited evacuation route capacity.
nuc-10,North Anna Power Station,nuclear,38.0639,-77.7911,Louisa,VA,"Two-unit plant near Lake Anna. 10-mile EPZ spans Louisa, Spotsylvania, and Orange counties — rural roads are primary evacuation routes."
chem-01,Chemours — Fayetteville Works,chemical,34.9996,-78.8958,Cumberland,NC,Chemical manufacturing facility. Produces fluorochemicals. Fire near this site may release toxic smoke. Shelter-in-place protocols may be triggered.
chem-02,Nucor Steel — Charlotte,chemical,35.4064,-80.8494,Mecklenburg,NC,Electric arc furnace steel plant. Large fuel and chemical storage on-site. Fire risk includes stored oils and industrial gases.
chem-03,Colonial Pipeline — Shelby Terminal,chemical,35.3028,-81.5462,Cleveland,NC,Major petroleum pipeline terminal. Wildfire near fuel storage tanks creates extreme explosion and toxic smoke risk. Large evacuation zone may be needed.
chem-04,Bayer CropScience — Institute Plant,chemical,38.4207,-81.8326,Kanawha,WV,Site of a 1985 methyl isocyanate release (same chemical as Bhopal). Chemical fire here could require large-scale evacuation of the Kanawha Valley.
chem-05,DuPont — Richmond Works,chemical,37.5078,-77.4914,Henrico,VA,Large chemical manufacturing campus near Richmond. Multiple hazardous materials stored on-site. Fire could release toxic compounds.
chem-06,Eastman Chemical — Kingsport,chemical,36.5184,-82.5618,Sullivan,TN,One of the largest chemical plants in the US. Produces acetyl chemicals and plastics. Fire could release acetic acid and other hazardous vapors.
chem-07,BASF — Freeport Complex,chemical,28.9572,-95.3597,Brazoria,TX,Major petrochemical complex on the Gulf Coast. Produces a wide range of industrial chemicals. Fire risk is elevated during dry Gulf Coast conditions.
chem-08,ExxonMobil — Baytown Refinery,chemical,29.7602,-95.0147,Harris,TX,"Largest refinery in the US. A fire could trigger massive explosions and release of benzene, hydrogen sulfide, and other toxic chemicals. Multi-mile exclusion zone possible."
chem-09,GreenField Environmental — Columbia,chemical,33.9987,-81.1195,Richland,SC,Hazardous waste treatment and disposal facility. Fire here could release mixed industrial toxins. Nearby residents should follow shelter-in-place guidance.
chem-10,Arkema — Crosby Plant,chemical,29.9163,-95.0581,Harris,TX,Organic peroxide manufacturer. This site exploded during Hurricane Harvey (2017) when refrigeration failed. Fire/heat can trigger spontaneous explosion of stored chemicals.
lng-01,Dominion Energy — Cove Point LNG,lng_energy,38.4072,-76.3932,Calvert,MD,Major LNG export terminal on the Chesapeake Bay. LNG fires burn extremely hot and resist conventional suppression. Large exclusion zone required.
lng-02,Piedmont Natural Gas — Charlotte,lng_energy,35.2271,-80.8431,Mecklenburg,NC,Urban natural gas storage and distribution hub. Fire or rupture could disrupt gas supply to much of the Charlotte region.
lng-03,Duke Energy — Marshall Steam Station,lng_energy,35.5422,-80.9319,Iredell,NC,Coal ash impoundments on Lake Norman. Wildfire in the area can compromise containment structures and risk environmental contamination of the lake.
lng-04,Progress Energy — Mayo Plant,lng_energy,36.5041,-79.0428,Person,NC,Coal-fired plant with large fuel storage. Wildfire risk in surrounding Person County is elevated during drought conditions.
lng-05,Spectra Energy — Pine Needle LNG,lng_energy,36.0122,-79.8911,Guilford,NC,Underground LNG storage facility. Provides peak-day natural gas supply for the Piedmont Triad region. Disruption affects millions of customers.
lng-06,TC Energy — Buckingham Compressor Station,lng_energy,37.5526,-78.6944,Buckingham,VA,Transcontinental Gas Pipe Line compressor station. Serves as a key node in the eastern US natural gas network. Fire or damage affects regional energy supply.
lng-07,Sabine Pass LNG Terminal,lng_energy,29.7269,-93.8978,Cameron,LA,"Largest LNG export facility in the US. LNG pool fires can reach 1,800°F and are nearly impossible to extinguish — they must burn out. Exclusion zone is measured in miles."
lng-08,Freeport LNG Terminal,lng_energy,28.8564,-95.3597,Brazoria,TX,Major LNG export terminal on Quintana Island. Explosion in 2022 caused 3-month shutdown. Fire risk is high in dry coastal conditions.
lng-09,Dominion Energy — Surry Substation,lng_energy,37.1683,-76.7007,Surry,VA,High-voltage transmission substation adjacent to Surry Nuclear Plant. Wildfire damage could knock out power to the nuclear facility and surrounding region.
lng-10,Southern Company — Plant Vogtle Energy Complex,lng_energy,33.145,-81.76,Burke,GA,Combined nuclear and gas generating complex. One of the most significant power generation sites in the Southeast — serves millions of Georgia customers.
